"id","req_specification","class"
"824","We're attacking it from the opposite side. We're attacking it from the top down instead of the bottom up. Now I've got a placeholder for blah, and I need it to do blah really, really well, but I don't know what blah looks like yet.","NULL"
"984","","NULL"
"4","He's trying to slack off, guys.","NULL"
"942","As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","F"
"1144","As a broker team member, I want to ensure the Broker resources, validations, and P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1.","F"
"227","As a Consumer, I want to browse and find publishers, so that that I can find interesting publishers and their packages.","F"
"591","This is based on a meeting that we had with you last week. These were the epics that we came up with in that meeting and we ran with that from there.","NULL"
"855","As a broker team member, I want to make some updates to the SQL codes for clarity.","F"
"392","What we need then, is, we need specific things with dashboard, sharing functionality, and managing projects.","NULL"
"375","As a camp administrator, I want to be able to add parents, so that they can enroll their kids at camp.","F"
"905","What was that, Jim?","NULL"
"898","As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.","F"
"614","That's the way our mind works. Not yet. This one in particular we're going to definitely be working through. But as far as the other ones that are in class people can pick the ones they'd like to see first. With that, on to issues. Did everybody see these? A couple of seconds. Any new ones anybody wants to add to the list?","NULL"
"1088","As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue.","F"
"835","In the Agile classes, we're always taught the user story, 'As a something-something user, I can do this,' and we'll have a task that needs to be done to accomplish that as far as the development tasks go.","NULL"
"217","Yep. I started on something else already.","NULL"
"1129","As a team member, I want to understand how time off overlaps with plans around the user research.","A"
"789","As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.","F"
"475","I can do that.","NULL"
"736","Are you logging is as CinBell?","NULL"
"92","As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","F"
"1024","Just so we are clear, your stuff is what you get done by April 2nd. After that it becomes their stuff, unless they decide to push after release. I know that's not the best possible solution we can turn over, but that's the one that they had given us. If they refuse to push that day, and they say they'll handle the fallout. There we go. Karen?","NULL"
"30","I was just looking at that.","NULL"
"174","The easier thing to do is have Data Collector. The previous screen do something similar in Data Collector and then do a web service call. I don't know what that XML file is, if that's anything.","NULL"
"1023","As an owner, I only want zero-padded fields, so that I can justify padding.","F"
"929","As a camp administrator, I want to be able to modify the information of added parents, so that I can keep parent's information up to date.","F"
"111","As a site admin, I want to edit and delete help wanted ads, so that I can correct small problems or make sure each ad complies with site guidelines.","F"
"755","As a camp administrator, I want to be able to schedule tasks/activities for a specific camp group, so that I can track each groups daily/weekly and monthly activities.","F"
"600","As a Developer, I want an Elasticsearch integration, so that I can integrate data-packaged data with pipelines that use Elasticsearch.","F"
"416","When we did a look at the data that was falling into , I haven't looked at the data falling into LCAM, but nearly every Saturday and Sunday, weekend days, and even sometimes holidays, we saw transactions falling into from people doing scanning.","NULL"
"752","Oh.","NULL"
"560","Yeah, that's...","NULL"
"135","I realize we didn't do the actual disconnect.","NULL"
"210","I'm shipping to a pseudo?","NULL"
"503","As a parent, I want to be able to see if I made all the necessary payments.","F"
"547","As a camp administrator, I want to be able to keep track of which camper submitted which forms, so that legal issues are avoided.","F"
"412","Not on the journal change. Estimate is, but isn't. So, that's what this change is, which it only took us 45 minutes to get there.","NULL"
"1171","I forgot what it was.","NULL"
"480","I'm perfectly fine with that. I just don't want to force someone to go get another tool now. If that's where their direction is, then that's perfectly fine with me. If it makes the most sense for us.","NULL"
"64","As an Owner, I want to edit my profile, so that that it is updated with new information.","F"
"431","As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.","A"
"1179","{pause}","NULL"
"903","Yes.","NULL"
"1022","As a recyclingfacility representative, I want to have access to user stats and schedules, so that I can adjust my hours and/or upgrade equipment and capacity in order to be able to accomodate larger amounts of recyclable materials.","A"
"229","All right, that's what we're doing. Not all the rest of the stuff the way words it. I've told you that. I don't word it like they do. I word it so I know what I'm doing.","NULL"
"622","Fast Path. Path. Like a walkway, pathway.","NULL"
"639","He gets it from Afinium. He's already been set up with Afinium for a while.","NULL"
"488","As a CSM, I want to have my name listed in the registry without becoming a member of the site, so that employers or others can verify my certification.","F"
"330","There's two other items on there that I'm still looking into, and we'll get back to you guys as soon as we can. Regarding the that seems to be occurring, and the part number. The batches and the part number.","NULL"
"872","OK, Grady's got generate report data.","NULL"
"389","As a recruiter, I want to post a help wanted ad, so that I can attract candidates.","F"
"694","As a FABS user, I want to have my validations run in a reasonable amount of time.","A"
"1138","As a Developer, I want to do exploratory data analysis in R and operationalize that analysis in Python, so that I can use the best tool for the job.","F"
"23","It's Friday.","NULL"
"607","As a user researcher, I want to have the WIG prototype, so that I can finalize the second task script.","A"
"669","Start with a plug. Start with a plug and try a frame.","NULL"
"562","As an Admin, I want to have a pricing plan and billing system, so that that I can charge users and make my platform sustainable.","F"
"569","As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","F"
"1150","I know, but what are your tasks ? Do you want me to make one, and you can go off and research this?","NULL"
"1204","As an NSF employee, I want to know how visual design directions were developed, so that I can make better design decisions in the future.","A"
"451","No, we were creating, depending on which way we were doing it. If we create a service, they would pull it whenever they wanted. If it was an FTP, then we would send it to them or put it on the FTP site, daily or however often it was run.","NULL"
"371","As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.","F"
"323","As a Publisher, I want to create a data package in the UI so that it is available and published.","F"
"357","It needs to start getting on integrations and . I need to show Karen what they did. Whether or not she's able to show up and put much into it and see.","NULL"
"194","As an Enforcement Staff member, I want to Issue a Notice of Violation, so that I can provide formal communication to the responsible party.","F"
"557","As a Web Developer, I want to be able to install multiple versions of the same datapackage separately, so that that all my projects could be developed independently and deployed locally.","F"
"705","Knocking some stuff off the list. It is helpful. It is generally good, but not has been better or worse than the other. We've started knocking stuff off the list and maybe get more fuzzy .","NULL"
"525","No.","NULL"
"363","As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.","F"
"103","I probably haven't seen it. I have problems logging into my computer from the conference room this morning. If you sent it in the last 30 minutes, then I haven't seen it yet.","NULL"
"691","As a camp administrator, I want to be able to modify the information of enrolled campers, so that I can keep the campers information up to date.","F"
"334","As a recyclingfacility representative, I want to be able to update my information and the type of material I accept, so that I can avoid any miscommunication with users.","F"
"588","Would have been real blood.","NULL"
"513","Sure, I can run the scripts. Are they scripts that I need to create, or scripts that you're creating and you just need me to launch?","NULL"
"105","As a Developer , I want to ensure that attempts to correct or delete non-existent records don't create new published data.","A"
"945","As an advertiser, I want to be emailed a reminder seven day before an ad is about to expire, so that I can go extend the ad.","F"
"822","As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention.","F"
"42","As a site visitor, I want to do a full-text search of the FAQs, so that I can find an answer quickly.","F"
"361","Jasmine and...","NULL"
"50","As a ResearcherGovernment Publisher, I want to map lines in my dataset using geographic data in my dataset, so that my dataset is more engaging for non-technical users.","F"
"963","We need to some of these things. Baski, did you figure out how to give a response on some things?","NULL"
"549","Stored proc.","NULL"
"1215","From what I've seen, I've only seen the location code and address. I don't remember anything else from that spreadsheet.","NULL"
"840","As a Staff member, I want to Send or Post Citations and Fines, so that I can successfully send the Notice Of Violation document to the property owner and log information about the action.","F"
"425","As a Publisher, I want to sign up for a given pricing plan, so that that I am entitled to what it allows.","F"
"502","He's going to have to...Is this store proc?","NULL"
"141","No, I went to general change. I said I was going to general change it. .","NULL"
"1193","As a workshop attendee, I want to see a summary on major findings from the event.","F"
"422","As a site member who has read a teaser on the front page, I want to read the entire article so that I can finish articles that appeal to me.","F"
"944","We can't search for a conversation that has an attachment on it that belongs to this company because we're trying to do something generic. It's an easy query but we do something .","NULL"
"1055","As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.","F"
"997","I think if the teams are structured the right way and the iterations are structured the right way, then the mix will be good on each team to where the new hire can pair program with the thing that they're interested in accomplishing.","NULL"
"193","OK, is one story.","NULL"
"769","Don't worry, so I think we've","NULL"
"623","As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.","F"
"450",".","NULL"
"558","Yeah. Immediate feedback, that's good.","NULL"
"615","As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.","F"
"372","As a Researcher, working with data in NetCDF, I want NetCDF integration, so that I can store my data in plaintext while still retaining its metadata.","F"
"659","As a Publisher, I would like an integration with Excel, so that I can output cleaned Data Packages.","A"
"732","No. It's the second part of that because I don't think we do. I want them to know it's not our problem.","NULL"
"520","I do a control if...","NULL"
"43","As an admin, I want to view user error logs, so that I can fix or review any issues that are being faced by users of the system.","F"
"9","As a site admin, I want to delete any course or event, so that I can remove things that will no longer occur.","F"
"530","As a Developer , I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.","F"
"459","I don't think we had anything else for you all this morning. Do you all have anything for us that we need to discuss?","NULL"
"1011","As a Developer, I want an EPrints integration, so that I can integrate data-packaged data with pipelines that use EPrints.","F"
"897","As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","F"
"391","I just wanted to clarify.","NULL"
"1080","What? I'm deaf now. I can't hear anything.","NULL"
"386","We're actually not going to get the data until maybe early on the 3rd. There's really no reason to take down the database on the 1st...","NULL"
"1066","As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.","F"
"857","Because during the last four iterations of testing, now I'm starting to plan out the next release.","NULL"
"197","As a moderator, I want to have the 'estimate' field filled in automatically if all estimators show the same card, so that I can accept it more quickly.","F"
"918","Right now you cannot retire inventory equipment. You have to move it to in service and then retire it. This one I remember, because I asked him about this 166. I sent him a bazillion emails on it. I remember, when I finally understood it. It makes perfect sense...","NULL"
"679","As a site editor, I want to be able to designate whether or not an ever makes the home page, so that the best content is featured most prominently.","A"
"1120","As a publisher, I want to embed an interactive preview of my data on my site, so that users can be encouraged that this is the correct data for them.","F"
"842","As a team member, I want to know what the first hypothesis is, so that I can start developing a prototype to test.","A"
"333","No.","NULL"
"1017","Hey Violet, hey Kim.","NULL"
"1085","I do, because if we have a problem we need to know, but I don't think we do.","NULL"
"833","As a Developer, I want an SPSS integration, so that I can integrate data-packaged data with pipelines that use SPSS.","F"
"187","As an agency user, I want the FABS validation rules to accept zero and blank for loan records.","F"
"183","As an admin, I want to be able to have a dashboard that shows usage stats and locations, so that I can identify the neighbourhoods with the largest number of drop-offs and to try getting more facilities involved.","F"
"911","As a moderator, I want to log in using my account name and password, so that I can start using the application.","A"
"758","","NULL"
"759","As a Staff member, I want to Track the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.","F"
"63","A banker sold it finally. That was when we had four.","NULL"
"788","That's right, it is.","NULL"
"1184","Do I need it? I think I do. I haven't checked in the merge yet, but when I did I saw everything from 105 to 109 went back to the trunk which I presume has not been run in our dev and test environments yet.","NULL"
"909","As a team member, I want to have a prioritized list of features and elements of a future social element page, so that I can work with the engineers to determine feasibility.","A"
"317","As a camp administrator, I want to store campers' emergency information in a database, so that I can easily notify the necessary parties in case of an emergency.","A"
"144","As an employee from the HR department, I want to have access to the full information of all employees working for this business.","A"
"238","That was one more thing. I would be checking and see in LCAM, log into the system to see if we can find this equipment under these clause to be disconnected. Pending disconnects.","NULL"
"841","As a Mike, I want to be able to see some metrics on use of the game, so that I can see how much it is being used.","F"
"77","It still doesn't help us because it's still going to...","NULL"
"603","As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.","F"
"159","As a company, I want to join the Scrum Alliance by paying a corporate membership fee, so that I can show the company's support of Scrum.","F"
"178","As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.","F"
"1177","As a moderator, I want to create a new game by entering a name and an optional description, so that I can start inviting estimators.","F"
"968","we should change it to 2.0Male Participant: What's being worked on then?","NULL"
"44","Yes, if you had his list, say the primary fields are the Afinium locations, of whatever they call it, ship to, and then the address, city, state, zip code, and I liked Brian's first suggestion if you just go by the city, state, zip code and then maybe list them all side by side, and then the ones that match versus the ones that didn't, we could possibly get somebody to help manually do some of those to at least get started.","NULL"
"920","Do you know which report she was running?","NULL"
"494","I'm thinking that scenario. That choose hardwire and plug. I'll put the estimate field up here, which, we want that now...","NULL"
"236","As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.","F"
"777","As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.","F"
"1101","As a designer, I want to know what early indications of hypotheses might be, so that I can start planning for the first prototype.","A"
"234","I know we said, 'Home page, basically that's where you're going to .' I think when we talked about that, how will that tie this together?","NULL"
"444","As a site editor, I want to be able to indicate whether an article is publicly available or for members only, so that visitors are incentivized to become members.","F"
"1001","Anything else? All right.","NULL"
"211","As an NSF member of the team, I want to have a place where I can access all the related reports and documentation, so that I can refer to it easily now and in the future.","F"
"1005","As an agency user, I want to ensure that deleted FSRS records are not included in submissions.","F"
"202","As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand.","F"
"1139","Both for DC3 and for LCAM.","NULL"
"219","Make sure it's the middle finger.","NULL"
"819","As a camp administrator, I want to create an avenue so parents can submit feedback and general concerns, so that I can keep improving the services I provide.","F"
"208","As a ResearcherGovernment Publisher, I want to add reference data on inflation to my spending dataset, so that the spending lines in my dataset is more understandable.","F"
"186","I know. That's why I said wait.","NULL"
"270","Yeah, and I don't even touch that partly, so there's still that whole falling out there. I'm trying to get at least to the point where they're functional business wise so I need to get the work orders in there. I think ship orders escaped my...I was looking at the publish package for this version, and I noticed that I was publishing ship orders before and I'm not even importing those now.","NULL"
"867","Is that how they spell tolerate? Is it right?","NULL"
"74","That one, I think, was a misunderstanding. Because she's trying to change it to , because in it says the equipment's available but in LCAM, it's already sourced that equipment for another shipment, so it's not available in LCAM. I really think that issue is just confusion over the fact that, that piece of equipment had already been sourced for other orders.","NULL"
"675","We'll use TFS as the actual user stories, just for organizing it's fine.","NULL"
"722","As a user, I want the DUNS validations to accept records whose ActionTypes are B, C, or D and the DUNS is registered in SAM, even though it may have expired.","A"
"131","As a Data Analyst, I want to update previously downloaded data package, so that that I can work with the most recent data.","F"
"584","He didn't want the help files available from the home page. Or from the login page, rather. Until you've logged in.","NULL"
"1069","We haven't heard anything since you checked.","NULL"
"654","As a team member, I want to have recruiting-email templates ready to go, so that I can start recruiting interviewees ASAP!.","A"
"57","As a parent, I want to be able to share any photos the camp has taken of my child.","F"
"743","...that happens.","NULL"
"250","As a site editor, I want to set the following dates on a news item: Start Publishing Date, Old News Date, Stop Publishing Date, so that articles are published on and through appropriate dates.","A"
"568","If we get rid of the context switch, that problem goes away.","NULL"
"461","Where the grid is right now.","NULL"
"815","As a UI designer, I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.","F"
"290","If you want to make it...I don't care.","NULL"
"339","We'll work it. Just make sure, if you get the latest, if it shows up, if it doesn't, let me know. Then we'll schedule...Before we finish, we do need to look at the calendar to see when some time...larger block in.","NULL"
"1048","As an agency user, I want a landing page to navigate to either FABS or DABS pages, so that I can access both sides of the site.","F"
"847","They were good.","NULL"
"796","The login.","NULL"
"640","As a CSM, I want to be sent an email welcoming me to the Scrum Alliance and with instructions to register or activate my membership once my name has been loaded to the registry.","F"
"356","I'm going to the poles site.","NULL"
"460","The 19th is a staff meeting.","NULL"
"662","...your desktop. Internet Explorer...","NULL"
"222","So it'll really remove estimate in it?","NULL"
"1125","As a Civic Tech Activist, I want to make it easy to assess the quality of data stored by the government, so that I can make sure that government is living up to its transparency commitments.","A"
"595","That is weird.","NULL"
"509","Yeah.","NULL"
"398","As a camp administrator, I want to be able to upload consent forms, so that campers or their parents can easily access the forms.","F"
"96","Can we look at that?","NULL"
"582","As a camp administrator, I want to be able to see only events for a specific group/groups on the event calendar, so that I can easily read the data on the calendar without too much clutter.","F"
"354","As a Developer , I want to determine how agencies will generate and validate D Files from FABS and FPDS data.","F"
"698","","NULL"
"778","As an owner, I want to remove someone from membership in my publisher, so that they no longer have ability to publish or modify my data packages.","F"
"11","No, you're talking warehouse. Warehouse cycle count is different from the field.","NULL"
"458","As a developer, I want to have a list of definitions for commonly used terms, so that everyone working on the project can understand each other more easily.","F"
"158","Please enter your conference...","NULL"
"749","we're not going to have the data until after the 2nd.","NULL"
"672","This one is supposed to be the one. You do a general change. It doesn't know what day you're referring to. You have to go back in and change the frame.","NULL"
"168","I want to make sure that we've got things covered and then I would say, maybe, start trying to prioritize a bit, the things that we want to be able to accomplish. Talk about the approach as far as checking in, maybe trying to get Jasmine up to speed a little bit on what Mahesh can do, cross-training and...The hardest part right now is resources on the back-end with Baski and Brian.","NULL"
"68","As a Developer , I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header.","F"
"498","I only drive like ten miles a day.","NULL"
"383","Because it probably won't be on this morning's call, but I'm about to start working on the work orders. I don't have blanket project information that I can tell or estimates for this stuff, so I'm sure that's going to get in the way. I'm not quite sure how they're going to want to handle that. I need to dig into this a little more so I can more appropriately formulate a question for them.","NULL"
"482","As a site visitor, I want to click the link from the article teaser to take me directly to the body of the article. not to another teaser setup, so that I can easily finish the article.","F"
"713","As a user, I want to upload my week's schedule, so that I can get recommendations for recycling centers that best fit my availability.","F"
"49","To me, and we talked about this a little bit before. Getting this thing Notify, the HTML5, and getting the JRM functionality in, is imperative. I think we'll be able to sell a lot more and get a lot more recurring revenue if we do that.","NULL"
"721","As the site editor, I want to add an article to the site, so that the site has plenty of content.","F"
"353","Does it stop it from sourcing when you say you're doing a cycle count?","NULL"
"91","As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses.","F"
"286","As a user researcher, I want to test the user research plan, so that I make sure the in-person interviews are effective and capturing the right information.","F"
"883","As a team member, I want to know what visual design related tasks we might need to plan for this sprint, so that I can assign tasks as necessary.","A"
"37","Go with one hour.","NULL"
"22","As a site admin, I want to view all classes in a pending state, so that I can approve any that need to be approved.","F"
"424","As a team member, I want to understand what the MVP should look like, so that I can begin understanding workflow needs as they pertain to any CMS decision.","A"
"150","As a camp administrator, I want to be able to warn a camp worker who I think did his/her job inappropriate.","F"
"746","before follow it again, hours of testing .","NULL"
"902","Hey, it's Larry. Larry.","NULL"
"901","I said it before, I'm not a data guy, but I play one on TV. I did stay at Holiday Inn Express last night.","NULL"
"991","As a superuser, I want to update the recycling center information, so that I can provide the latest information about the recycling center.","F"
"308","Is it going to be right?","NULL"
"527","As a camp administrator, I want to be able to remove campers if they don't attend the camp anymore, so that I can keep the records organized.","F"
"599","As a content editor, I want to be able to easily find content, so that I can edit it.","F"
"1096","As a Machine Learning expert, I would like to package ML datasets as data packages, so that I can easily import them into my ML platform, so that I can start using the data in doing analysis.","F"
"1163","She was talking about being here.","NULL"
"1211","Yeah, actually...","NULL"
"887","As a developer, I would like to create a web socket protocol for Frictionless data tools, so that I can easily use data packages with additional data analysis tools.","A"
"1045","As a user, I want to have a flexible pick up time, so that I can more conveniently use the website.","F"
"617","It could be. I don't know.","NULL"
"1124","As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.","F"
"1161","As a camp administrator, I want to be able to create a registration form for both staff and kids, so that I can keep organized.","F"
"975","As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities.","F"
"410","Better sooner rather than later.","NULL"
"1056","As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic.","F"
"367","Is it?","NULL"
"216","As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.","F"
"594","As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted.","F"
"262","As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.","F"
"1164","As a Developer, I want a jQuery plugin for Core Data Packages, so that I can use it to apply to form control that uses a core dataset for autocompletion.","F"
"767","It's up to whoever's flushing the story out to determine whether or not they want to create stories for that, because even the stories can become epics if you break those down. Nothing prohibiting that.","NULL"
"734","As a site visitor, I want to see a list of all upcoming Certification Courses and can page through them if there are a lot, so that I can choose the best course for me.","F"
"961","As a site visitor, I want to be able to read some of your articles, so that I can learn without first joining the site.","F"
"1036","No, plugs. This only applies to plugs. If I went back and do a hardwire, then it'll have estimate through here.","NULL"
"633","Will this take scanning information?","NULL"
"94","You guys went to Mugshots?","NULL"
"1084","As a FABS user, I want the frontend URLs to more accurately reflect the page I'm accessing, so that I'm not confused.","A"
"338","The different swath of epics would be . Not all of them would be by role. Not only would you have epics on both the slides but then you might have, underneath that, another swath of epics for that particular epic that you're breaking down by a particular role.","NULL"
"1187","They asked me from the meeting, 'How long is it going to take you to swap the MapPoint for this?' I said, 'It's going to take two weeks.' That's my understanding, but it's not going to be for everybody, because I worked on application I know where to change it. If somebody is learning a new technology, the time frame is completely different.","NULL"
"1039","As a web recruiter manager, I want to confirm the recruiter is set up and working properly, so that I can deploy it on more pages.","A"
"958","As an NSF employee, I want to have high-level strategy recommendations to implement in conjunction with the new CMS.","A"
"248","And on the spreadsheet if they've color coded it then they've already touched it. It's always possible.","NULL"
"794","Three. I'm thinking optimistically.","NULL"
"54","As a site visitor, I want to do a full-text search of article body, title, and author name, so that I can find what I want.","F"
"1198","As a Publisher, I would like a tool to check data availability persistence after publication.","F"
"826","He's been here.","NULL"
"263","Well, I mean, development-wise. Baski has been stuck with the lion's share of everything else. We've been able to not move all these other things forward. That one, we will definitely try to guard against doing something like that. Yeah. We'll add that to the list, context switch. All right. What do you all want to talk about?","NULL"
"1146","Patrick's our DC3 expert. It's his baby.","NULL"
"702","As long as it's not scheduled over the weekend, I don't care.","NULL"
"2","It's all got to integrate together at some point.","NULL"
"1108","Just first guess. .","NULL"
"1201","As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data.","F"
"1042","Yeah. That'll be the easy one.","NULL"
"215","I'm actually not at the office right now. Guys, do we have anything that we need to update them on?","NULL"
"863","As a site editor, I want to maintain a FAQ section, so that support gets fewer easily answered questions.","F"
"940","As a camp administrator, I want to be able to add campers, so that I can keep track of each individual camper.","F"
"523","As a moderator, I want to change my account details, so that I can keep my account details up-to-date.","F"
"239","I'm going to check with them and see if that's something we're missing here. Because it's new, it's coming direct from the vendor, they would place the unique bar code they had it in, so I would assume pulled it out of...","NULL"
"550","Actually it was one of the disaster recovery servers.","NULL"
"851","As a user, I want to view all locations of recycling centers on a map, so that I can check which routes to take to drop off waste.","F"
"556","As a user, I want to be able to browse through the list of facolities and see which ones are environment-friendly, so that I can know for sure my waste is not going to leave a negative ecological footprint.","F"
