"id","req_specification","class"
"50","As a ResearcherGovernment Publisher, I want to map lines in my dataset using geographic data in my dataset, so that my dataset is more engaging for non-technical users.","F"
"51",", right?","NULL"
"52","As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.","A"
"53","As a camp administrator, I want to be able to set a reminders related to specific tasks that has to be done.","F"
"54","As a site visitor, I want to do a full-text search of article body, title, and author name, so that I can find what I want.","F"
"55","We shouldn't run that.","NULL"
"56","OK.","NULL"
"57","As a parent, I want to be able to share any photos the camp has taken of my child.","F"
"58","What's the Search at the top and the Search as a tile? That's confusing to me. What does that mean?","NULL"
"59","Yes, that's right.","NULL"
"60","As a trainer, I want to create an Other Course or Event I am charged a listing fee for that activity, so that I don't list events I don't really intend to hold.","F"
"61","Either way, it'll be a change for us. It is not like we could just allow them to send it to the existing interface and it'll change the part with what they want.","NULL"
"62","I think we're on that section. I want them to be trained.","NULL"
"63","A banker sold it finally. That was when we had four.","NULL"
"64","As an Owner, I want to edit my profile, so that that it is updated with new information.","F"
"65","You don't want to box anybody in a corner, either. That doesn't do any good for Jasmine, to say, ""OK, she's the UX person now."" Not that that's a bad thing, but you would probably want to be a little bit more well rounded than that, versus looking at Miranda and going, ""You're more data or business logic .","NULL"
"66","the Notify stuff. At any rate, we have limited...We have deadlines for things, but we have Mahesh here. I really want to know from Baski what direction should we take as far as the next two weeks?","NULL"
"67","Me?","NULL"
"68","As a Developer , I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header.","F"
"69","As a user, I want to see sensible and predictable URLs, so that the application feels logical and transparent.","A"
"70","The beginning of April is next week.","NULL"
"71","As a team member, I want to have an updated acquisitions roadmap, so that I can plan accordingly.","A"
"72","As a research participant, I want to make sure that the appearance of the prototype does not distract from the workflow, so that I can complete the user interview.","A"
"73","As a developer, I want to have the application function correctly in Internet Explorer 6 and 7, Firefox 1.5 and 2, and Safari 2, so that as many people as possible can fully use the application.","A"
"74","That one, I think, was a misunderstanding. Because she's trying to change it to , because in it says the equipment's available but in LCAM, it's already sourced that equipment for another shipment, so it's not available in LCAM. I really think that issue is just confusion over the fact that, that piece of equipment had already been sourced for other orders.","NULL"
"75","Yeah.","NULL"
"76","As a parent, I want to see which counselors are assigned to my kids, so that I can have peace of mind.","F"
"77","It still doesn't help us because it's still going to...","NULL"
"78","Have you decided ?","NULL"
"79","As a ResearcherDeveloper, would like the ability import/export from MS-SQL, so that I can use Data Packages in workflows that involve MS-SQL.","F"
"80","Who does the clean up?","NULL"
"81","As a moderator, I want to delete my account, so that account information and games are no longer stored.","F"
"82","As a moderator, I want to browse through previous games, so that I can find the previous game I’m looking for.","F"
"83","As a Researcher, I want to get a Data Package into STATA in seconds, so that I can start using the data for doing analysis and visualizations.","A"
"84","As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs.","A"
"85","As a moderator, I want to create an account for the application by entering my name, email address, a password and a username, so that I can start using the application.","F"
"86","Mugshots burgers are...","NULL"
"87","This is a journal update. This is similar to frames. It's a frame update but it's a journal change.","NULL"
"88","Back when I lived here, that would never happen.","NULL"
"89","As a Developer, I want to get a Data Package into Clojure in seconds, so that I can start using the data in doing analysis and visualizations.","A"
"90","Can we look at that?","NULL"
"91","As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses.","F"
"92","As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","F"
"93","I would prefer it to be consistent if we can make it consistent. It makes it easier, whether they use it or not, as long as it does work if they do choose to use it. It isn't required if they don't choose to use it. If I try to save this now, it's going to tell me something, estimate is required or something.","NULL"
"94","You guys went to Mugshots?","NULL"
"95","I see both sides of that. Whatever you want to do.","NULL"
"96","Can we look at that?","NULL"
"97","My question was, on the spreadsheet, all the items status say complete. Is that complete at LCAM?","NULL"
"98","Yeah.","NULL"
"99","As a trainer, I want to be assured that no one can submit the same answers multiple time and skew my results, so that my ratings are accurate.","A"
"100","As a user, I want to generate and validate D Files from FABS and FPDS data.","F"
"101","I've only got a little bit left on LCAM, I've probably got another hour or two to finish that up. There's so much for that, then I can actually look at this code and give . Then I'll start again tomorrow because I think that's it. We have a few more hours on the LCAM.","NULL"
"102","As a Broker user, I want to have PPoPZIP+4 work the same as the Legal Entity ZIP validations.","A"
"103","I probably haven't seen it. I have problems logging into my computer from the conference room this morning. If you sent it in the last 30 minutes, then I haven't seen it yet.","NULL"
"104","Open a given single conversation?","NULL"
"105","As a Developer , I want to ensure that attempts to correct or delete non-existent records don't create new published data.","A"
"106","As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date.","A"
"107","I don't either.","NULL"
"108","As a site member, I want to fill out an application to become a Certified Scrum Trainer, so that I can teach CSM and CSPO courses and certify others.","F"
"109","As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.","A"
"110","As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.","F"
"111","As a site admin, I want to edit and delete help wanted ads, so that I can correct small problems or make sure each ad complies with site guidelines.","F"
"112","As an Agency user, I want FPDS data to be up-to-date daily.","A"
"113","As an NSF administrator, I want to shadow the CMS implementation, so that I can learn as the prototype is developed further.","A"
"114","But that would only apply to hardwire.","NULL"
"115","Yeah. Exactly.","NULL"
"116","As a Consumer, I want to see some example data packages quickly, so that I get a sense of what is on this site and if it is useful to look further.","A"
"117","As an Agency user, I want to better understand my file-level errors.","A"
"118","It's exactly the same thing.","NULL"
"119","Yes.","NULL"
"120","You probably had already danced.","NULL"
"121","I have a couple of questions. When they're doing this cycle count can the equipment be moving behind the scenes?","NULL"
"122","As a site administrator, I want to read practicing and training applications and approve or reject them, so that only applicants who qualify can become CSPs or CSTs.","F"
"123","If somebody wants to do that for me, that would help me out.","NULL"
"124","They've got the scanner. They can have their cycle count up and scan the stuff in. That stuff sounds more like DC3, which I did have that thought when I was talking to him about it. I don't know why I didn't invite you to this meeting. My bad.","NULL"
"125","As a Staff member, I need to be notified when Geospatial attributes change, so that I can ensure that I am reviewing the permit/application to the most current data and appropriate standards.","F"
"126","Like Ken said, in net we already clean them up, so yeah, we'll eventually have to map them to Infinium.","NULL"
"127","It's a lot of emails I've gone through. I've gone through more in the last two weeks than ever in a two week time span. OK. Did you all have anything specific you wanted to talk about?","NULL"
"128","As a parent, I want to be able to enroll my children, so that they can be admitted to camp.","F"
"129","As a Staff member, I want to create each condo unit, so that I can associate it to the child parcel and address after the condominiums are recorded in the system.","F"
"130","I would think we would give them back, but for one spreadsheet that says, ""Here's all the stuff we've retired, in case you want to double check it. Here's all the stuff we didn't touch, that was in your spreadsheet."" Right?","NULL"
"131","As a Data Analyst, I want to update previously downloaded data package, so that that I can work with the most recent data.","F"
"132","As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.","A"
"133","As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.","F"
"134","That would be in line with trying to give direction to new hires about where they need to invest their time, what type of technologies that you should probably be focusing on. That would feed in with our organizational goals as well.","NULL"
"135","I realize we didn't do the actual disconnect.","NULL"
"136","As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.","F"
"137","If you wanted to see My Conversations instead of that map all you have to do, instead of running your own search and doing that every time you're going to search...","NULL"
"138","As a ResearcherPublisher, I want to add a DOI to a dataset, so that I can cite it in papers stored with the data.","F"
"139","Actually a lot of people opened up today, that's good.","NULL"
"140","Get the whole team, except for Susan!","NULL"
"141","No, I went to general change. I said I was going to general change it. .","NULL"
"142","The existing interface doesn't change part numbers now. We would either have to change the existing interface to make it change part numbers -- which is not what the interface is designed for -- or we create a new interface to allow them to change part numbers. That's all they're doing with it.","NULL"
"143","I've got the same concerns. It seems like we , but not much is getting rubbed off.","NULL"
"144","As an employee from the HR department, I want to have access to the full information of all employees working for this business.","A"
"145","I don't know where to find it, to be honest.","NULL"
"146","Door.","NULL"
"147","I've never made co-changes in the collate projects. I don't worry about anything. Certainly different so it's coming here and .","NULL"
"148","As an Inspection Staff Supervisor, I want to Assign Inspections, so that I can make sure the appropriate Inspector receives the work.","F"
"149","I'm not touching that.","NULL"
"150","As a camp administrator, I want to be able to warn a camp worker who I think did his/her job inappropriate.","F"
"151","database....","NULL"
"152","As a Consumer, I want to download a Data package at a particular version, so that that I know it is compatible with my scripts and system.","F"
"153","I chatted with him this morning, I IMd with him this morning and he said that there's nothing else that he's aware of, that he's heard of, or seen that would be similar to what we're experiencing.","NULL"
"154","As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package.","F"
"155","That they didn't have CLLIs because initially they were thinking that the ship to codes, or the to location codes were CLLIs. But, no we haven't tried to do the Fuzzy Logic Lookup.","NULL"
"156","As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.","A"
"157","As a site editor, I want to have a prominent area on the home page where I can put special announcements not necessarily news or articles, so that I can give them additional exposure.","F"
"158","Please enter your conference...","NULL"
"159","As a company, I want to join the Scrum Alliance by paying a corporate membership fee, so that I can show the company's support of Scrum.","F"
"160","As a developer, I want to use bootstrap in the process of developing, so that I can easily design my website.","F"
"161","As an NSF employee, I want to schedule regular in-person check-ins, so that we can continue to communicate the goals of the project with our stakeholders.","F"
"162","If I hit submit here, it's going to give me a bunch of crap.","NULL"
"163","I'll have to hang up to call the other people, then.","NULL"
"164","OK so I want...we always say this and everybody gets locked up in their day to day, I would like everyone in this room to submit something by next week , just an idea, just anything that they're interested in technology-wise, that will force us all to...if you don't have anything pressing, at least it'll get the brain ticking a little bit about, ""Hey, what might I be interested in?""","NULL"
"165","As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".","F"
"166","As an owner, I want to view all the people in my organization and what roles they have, so that that I can change these if I want.","F"
"167","OK, well. Estimate.","NULL"
"168","I want to make sure that we've got things covered and then I would say, maybe, start trying to prioritize a bit, the things that we want to be able to accomplish. Talk about the approach as far as checking in, maybe trying to get Jasmine up to speed a little bit on what Mahesh can do, cross-training and...The hardest part right now is resources on the back-end with Baski and Brian.","NULL"
"169","As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.","F"
"170","Estimate for those?","NULL"
"171","As a site member, I want to subscribe to an RSS feed of jobs available, so that I can read them without visiting the site.","F"
"172","Well I've been telling you, you've got to run it. These clause are associated with this equipment. You're going to have to clean out...","NULL"
"173","The Dashboard is done, as far as I'm concerned.","NULL"
"174","The easier thing to do is have Data Collector. The previous screen do something similar in Data Collector and then do a web service call. I don't know what that XML file is, if that's anything.","NULL"
"175","As a content designer, I want to develop a better understanding of NSF's content types and editorial plan, so that I can make more informed recommendations going forward.","A"
"176","As a Consumer, I want to search data packages, so that that I can find the ones I want.","F"
"177","As a stakeholder, I want to have a decision on whether or not the blog aggregator may work for beta, and if not what will.","A"
"178","As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.","F"
"179","As a user, I want to view user documentation for the website, so that I know how to use the web app.","F"
"180","I guess for this exercise today, these are the epics and we can start trying to put some high-level estimates on them. At the end of the day, we really want to know how long this whole project, to get this whole thing turned over is going to take, the high levels and then we can work out which ones we want to try and do first and scope out that work.","NULL"
"181","This is internal training?","NULL"
"182","Yep.","NULL"
"183","As an admin, I want to be able to have a dashboard that shows usage stats and locations, so that I can identify the neighbourhoods with the largest number of drop-offs and to try getting more facilities involved.","F"
"184","You have it broken down a little bit more inside there.","NULL"
"185","As a Researcher, working with data, I want an Microsoft Power BI integration, so that I can import datasets without downloading them locally.","A"
"186","I know. That's why I said wait.","NULL"
"187","As an agency user, I want the FABS validation rules to accept zero and blank for loan records.","F"
"188","That makes it a little...","NULL"
"189","As a site visitor, I want to view lists on the site of all Certified Scrum Masters, Practitioners, Trainers, and Certified Scrum Product Owners.","F"
"190","As a developer, I want an online service that is connected to my data repository that validates data on update, so that I can delegate data validation to a third party.","F"
"191","That's right.","NULL"
"192","If we get a meeting .","NULL"
"193","OK, is one story.","NULL"
"194","As an Enforcement Staff member, I want to Issue a Notice of Violation, so that I can provide formal communication to the responsible party.","F"
"195","As a staff member, I want to denote an application with a Final Action status. So that I can finish it.","F"
"196","As a participant, I want to scroll back through the stories and estimates from prior rounds, so that I can use this information when I estimate the item of the current round.","F"
"197","As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.","F"
"198","That's right. Once you have that streamlined, then I give you everything and say, "" , come back in two weeks .""","NULL"
"199","As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.","F"
"200","As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213.","F"
"201","When you all did the warehouse...","NULL"
"202","As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand.","F"
"203","No, sir. I'm good.","NULL"
"204","As a Researcher, I want a tool that can generate basic statistics about a dataset, so that I can get a quick preview of the data.","F"
"205",". This is the one I showed you.","NULL"
"206","Yeah. These are all disconnect. Sorry if I didn't make that clear.","NULL"
"207","As a trainer, I want to turn a course into an event or an event into a course, so that I can correctly classify anything that was entered incorrectly.","F"
"208","As a ResearcherGovernment Publisher, I want to add reference data on inflation to my spending dataset, so that the spending lines in my dataset is more understandable.","F"
"209",".","NULL"
"210","I'm shipping to a pseudo?","NULL"
"211","As an NSF member of the team, I want to have a place where I can access all the related reports and documentation, so that I can refer to it easily now and in the future.","F"
"212","Your login was not successful.","NULL"
"213","As a Researcher, I want to get my Excel spreadsheet into a Data Package, so that I can benefit from better tooling and standardization.","F"
"214","As a participant, I want to be able to see each estimator's prior estimates for the story being estimated, so that I can see how his or her opinion has changed so I can ask questions.","F"
"215","I'm actually not at the office right now. Guys, do we have anything that we need to update them on?","NULL"
"216","As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.","F"
"217","Yep. I started on something else already.","NULL"
"218","As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","F"
"219","Make sure it's the middle finger.","NULL"
"220","As a team member, I want to know when the mid-point checkin is and what will be covered, so that I can plan accordingly.","F"
"221","Do you have any questions on the users? I know you all send some emails back and forth. Think you're good now?","NULL"
"222","So it'll really remove estimate in it?","NULL"
"223","As a site visitor, I want to see new content when I come to the site, so that I come back more often.","F"
"224","Fast Path.","NULL"
"225","As a user, I want more information about how many rows will be published prior to deciding whether to publish.","F"
"226","As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that there are no duplicates.","A"
"227","As a Consumer, I want to browse and find publishers, so that that I can find interesting publishers and their packages.","F"
"228","As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider.","F"
"229","All right, that's what we're doing. Not all the rest of the stuff the way words it. I've told you that. I don't word it like they do. I word it so I know what I'm doing.","NULL"
"230","When Drake is out, and somebody can step in and be Drake, or Baski's out, and somebody can step in and be Baski, or when Corey's out, then somebody can step in and be a Corey. We're sharper that way.","NULL"
"231","As a trainer, I want to copy one of my courses or events, so that I can create a new one.","F"
"232","As a Researcher, I want to get a Data Package into Excel in seconds, so that I can start using the data for doing analysis and visualizations.","A"
"233","As a FABS user, I want to submit a citywide as a PPoPZIP and pass validations.","F"
"234","I know we said, ""Home page, basically that's where you're going to ."" I think when we talked about that, how will that tie this together?","NULL"
"235","We estimated that, that one was three? How did we estimate that at three? Wait, this was on 45. That may not be three, because he also did not put any of the estimates on there. He did estimate that at three. Why is it three? What else has to happen? Because these are our estimates.","NULL"
"236","As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.","F"
"237","Cindy .","NULL"
"238","That was one more thing. I would be checking and see in LCAM, log into the system to see if we can find this equipment under these clause to be disconnected. Pending disconnects.","NULL"
"239","I'm going to check with them and see if that's something we're missing here. Because it's new, it's coming direct from the vendor, they would place the unique bar code they had it in, so I would assume pulled it out of...","NULL"
"240","It's managing assets and then actions. I think there's still going to be two.","NULL"
"241","Because it's like a sales tool. Our competitors can get there if they want to get there.","NULL"
"242","The guy in the field who's wanting this functionality is thinking more of an offline scanner where you sit it into a...","NULL"
"243","As an agency user, I want to get File F in the correct format.","F"
"244","As a web recruiter manager, I want to confirm the recruiter is set up and working properly on Science360.gov.","F"
"245","something missing.","NULL"
"246","I keep hearing Disney. I don't know why. Disney Fast Pass.","NULL"
"247","As a Consumer, I want to see a publisher's profile, so that that I can discover their packages and get a sense of how active and good they are.","F"
"248","And on the spreadsheet if they've color coded it then they've already touched it. It's always possible.","NULL"
"249","As a trainer, I want to delete one of my courses or events, so that it's no longer listed if I cancel for some reason.","F"
"250","As a site editor, I want to set the following dates on a news item: Start Publishing Date, Old News Date, Stop Publishing Date, so that articles are published on and through appropriate dates.","A"
"251","As a Researcher, I want to be able to translate my EML dataset to a Data Package, so that I can benefit from the wide array of tools available for Data Packages.","F"
"252","Can we change the date of the iterations since we're clear on that. Nobody .","NULL"
"253","We not even know. You're just walking in, and finding out yesterday afternoon. You said, ""What's going on?"" , ""We need some help from somebody."" Get all the people as soon as possible, so we can all work together and then go through like 10 different , and finally come to you for three minutes work.","NULL"
"254",". The outside vendor they use. Industrial Movers?","NULL"
"255","As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.","F"
"256","As an NSF employee, I want to learn about how Github is used, so that I can participate in the issues as assigned.","A"
"257","If you could ever get two hours.","NULL"
"258","As a developer, I want to have written a site which is compliant with XHTML and CSS standards, so that as many people as possible can access the site and view it as intended.","A"
"259","As a user, I want to be able to anonymously view public information, so that I know about recycling centers near me before creating an account.","F"
"260","It will help us out.","NULL"
"261","As a user, I want to access the raw agency published files from FABS via USAspending.","F"
"262","As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.","F"
"263","Well, I mean, development-wise. Baski has been stuck with the lion's share of everything else. We've been able to not move all these other things forward. That one, we will definitely try to guard against doing something like that. Yeah. We'll add that to the list, context switch. All right. What do you all want to talk about?","NULL"
"264","As a camp worker, I want to be able to see which campers I am in charge of and where, so that I can make sure I am doing my job properly.","A"
"265","I know.","NULL"
"266","It's planned to be in there.","NULL"
"267","I don't know if that one's as good an example. I think, we had the right people on that.","NULL"
"268","As a Developer , I want to clarify to users what exactly is triggering the CFDA error code in each case.","F"
"269","As a user researcher, I want to know when outreach to lists is successful, so that I can plan on a new release to the next listserv on the priority list.","F"
"270","Yeah, and I don't even touch that partly, so there's still that whole falling out there. I'm trying to get at least to the point where they're functional business wise so I need to get the work orders in there. I think ship orders escaped my...I was looking at the publish package for this version, and I noticed that I was publishing ship orders before and I'm not even importing those now.","NULL"
"271","It's not far off from what we have right here. The thing is the map is going to be integrated into that page, at least when you're on a desktop situation.","NULL"
"272","That's .","NULL"
"273","If we mess up at some point, it will help us track back to what happened, where did it go wrong, and things like that. Make a quick note on here about why I'm checking this in.","NULL"
"274","Long-term goals.","NULL"
"275","As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.","F"
"276","That's fine.","NULL"
"277","A new interface is safer. It's a safer way to do it.","NULL"
"278","As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","F"
"279","Alright, thank you.","NULL"
"280","This one escapes the edge for me. It could go either way. That's why I'm asking.","NULL"
"281","Because we're not just pulling a query...","NULL"
"282","We do.","NULL"
"283","As a site visitor, I want to have articles that interest me and are easy to get to, so that I come to the site for my agile news and learning.","F"
"284","You go to the map, on that map, you show whatever you want and from there, you can do what you want. There still has to be a way to filter down to something. I'm not real sure how to group that together in the sense of, say if I have something like a list of contracts.","NULL"
"285","As a trainer, I want to be notified about the results of surveys about my classes, so that I can read them.","F"
"286","As a user researcher, I want to test the user research plan, so that I make sure the in-person interviews are effective and capturing the right information.","F"
"287","As a tester, I want to have access to test features in environments other than Staging, so that I can test any nonProd feature in any environment.","F"
"288","There was always a big debate on the equipment is not worth to roll a truck, to go out and actually get. They're so far behind on it. They don't have the people to do it. They want to clean the records off.","NULL"
"289","Baski can...What's the situation?","NULL"
"290","If you want to make it...I don't care.","NULL"
"291","Do we need to...?","NULL"
"292","As a ResearcherPublisher, I want an integration with Zenodo, so that when I store my dataset in GitHub, I don’t have to retype descriptive information about my dataset.","A"
"293","As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","F"
"294","As a Plan Review Staff member, I want to Assign Plans for Review, so that I can ensure plans have been assigned to the appropriate Plan Reviewer.","F"
"295","Which one?","NULL"
"296","As a camp worker, I want to be able to see which campers I am in charge of and where, so that I can make sure I am doing my job properly.","F"
"297","As a parent, I want to be able to see which consent forms I have submitted, so that I can know what I still need to do.","F"
"298","...a canned query. I can't remember what the title was called, of the report. I'd have to double check it. She was getting some random results and others were getting good results query, sensitive to multi, people trying to use it at the same time. The point is that current results were impaired.","NULL"
"299","As a camp administrator, I want to store camper's immediate parent/guardian's information, so that I can easily call to notify them in case a grossly unacceptable behavior.","A"
"300","As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.","F"
"301","That's right. I guess the first question is, is this really chargeable work because they pay for maintenance. Smiley's under the impression that...","NULL"
"302","As a user researcher, I want to make sure the correct NSF people are invited to user interviews, so that they can observe the interviews and make recommendations accordingly.","A"
"303","That could be done by someone else other than you.","NULL"
"304","If the humidity wasn't so high, it wouldn't be as bad. I don't think so.","NULL"
"305","Thanks.","NULL"
"306","So what do we have?","NULL"
"307","As a site editor, I want to assign priority numbers to news items, so that I can indicate which articles I want featured most prominently on the site.","F"
"308","Is it going to be right?","NULL"
"309","As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.","F"
"310","I'm doing it . It should be...","NULL"
"311","As a site visitor, I want to subscribe to an RSS feed of articles, so that I can read them without visiting the site.","F"
"312","Yes, that's something I can do.","NULL"
"313","Gather up...","NULL"
"314","Or we can do it at a different time.","NULL"
"315","As a camp administrator, I want to be able to suspend a camper who had behavioral problems.","F"
"316","So, the other thing is, when you do a journal change for hardwire, you have to enter an estimate. If you do a journal change and it's non-hardwire, you don't have to enter an estimate.","NULL"
"317","As a camp administrator, I want to store campers' emergency information in a database, so that I can easily notify the necessary parties in case of an emergency.","A"
"318","As a developer, I want an DSpace integration, so that I can integrate data-packaged data with pipelines that use Dspace.","A"
"319","As an NSF employee, I want to have editorial-planning recommendations, so that I can understand how they might impact an eventual CMS / future web presence.","A"
"320","Until we get the new look.","NULL"
"321","As a publisher, I want to be able to check that every time I update my data it is still good, so that I can catch errors early and store reliable data.","F"
"322","As a Publisher, I want to know if this site has a pricing plan and what the prices are, so that that I can work out what this will cost me in the future and have a sense that these guys are sustainable.","F"
"323","As a Publisher, I want to create a data package in the UI so that it is available and published.","F"
"324","As a corporatesponsor, I want to display my logo on a corporate sponsors page, so that others see the company's support of Scrum.","F"
"325","Called up. They could hear me. I couldn't hear anybody. So, they might be talking to us.","NULL"
"326","As a Data user, I want to have the 12-19-2017 deletions processed","F"
"327","As a consumer, I want to view the data package, so that that I can get a sense of whether I want this dataset or not.","F"
"328","This would mean that DC3 would need to be loaded on those techs' laptops?","NULL"
"329","That did bring me to another question. I can't find warehouses in the data at all, and I know that, Ken, we got feedback from you to look at the building type field that's there, and that was beneficial. We found the field locations, and may denote it as CS, which I assume is Central Stock. RDC Remote Distribution Center, and then I think an IDC is an Intermediate Distribution Center.","NULL"
"330","There's two other items on there that I'm still looking into, and we'll get back to you guys as soon as we can. Regarding the that seems to be occurring, and the part number. The batches and the part number.","NULL"
